date,adj_close,
01/25/2016,71.74,
01/22/2016,72.7,
01/21/2016,71.56,
01/20/2016,70.68,
01/19/2016,71.39,
01/15/2016,71.83,
01/14/2016,73.8,
01/13/2016,73.1,
01/12/2016,74.76,
01/11/2016,73.92,
01/08/2016,72.88,
01/07/2016,73.79,
01/06/2016,75.27,
01/05/2016,76.27,
01/04/2016,75.7,
12/31/2015,77.55,
12/30/2015,78.35,
12/29/2015,79.21,
12/28/2015,78.53,
12/24/2015,78.26,
12/23/2015,78.56,
12/22/2015,77.38,
12/21/2015,77.17,
12/18/2015,76.32,
12/17/2015,78.69,
12/16/2015,79.86,
12/15/2015,78.62,
12/14/2015,76.87,
12/11/2015,76.11,
12/10/2015,78.12,
12/09/2015,77.88,
12/08/2015,79.07,
12/07/2015,79.55,
12/04/2015,80.4,
12/03/2015,78.29,
12/02/2015,79.04,
12/01/2015,79.91,
11/30/2015,79.01,
11/27/2015,79.84,
11/25/2015,79.56,
11/24/2015,79.79,
11/23/2015,80.11,
11/20/2015,80.19,
11/19/2015,80.15,
