date,adj_close,,
08/15/2019,271.89,,
08/14/2019,267.15,,
08/13/2019,274.53,,
08/12/2019,270,,
08/09/2019,274.95,,
08/08/2019,278.04,,
08/07/2019,269.31,,
08/06/2019,264.68,,
08/05/2019,256.84,,
08/02/2019,269.45,,
08/01/2019,274.16,,
07/31/2019,272.27,,
07/30/2019,278.16,,
07/29/2019,281.44,,
07/26/2019,282.07,,
07/25/2019,279.35,,
07/24/2019,280.25,,
07/23/2019,278.97,,
07/22/2019,278.61,,
07/19/2019,275.6,,
07/18/2019,276.78,,
07/17/2019,275.28,,
07/16/2019,276.62,,
07/15/2019,279.37,,
07/12/2019,279.54,,
07/11/2019,278.32,,
07/10/2019,275.38,,
07/09/2019,273.34,,
07/08/2019,271.23,,
07/05/2019,272.14,,
07/03/2019,273.08,,
07/02/2019,270.57,,
07/01/2019,266.77,,
06/28/2019,264.53,,
06/27/2019,261.1,,
06/26/2019,261.3,,
06/25/2019,259.73,,
06/24/2019,265.3,,
06/21/2019,264.47,,
06/20/2019,266.79,,
06/19/2019,259.87,,
06/18/2019,258.81,,
06/17/2019,259.2,,
06/14/2019,260.1,,
06/13/2019,261.2,,
06/12/2019,263.85,,
06/11/2019,263.66,,
06/10/2019,266.1,,
06/07/2019,265.8,,
06/06/2019,257.83,,
06/05/2019,256.26,,
06/04/2019,249.18,,
06/03/2019,242.26,,
05/31/2019,251.49,,
05/30/2019,254.19,,
05/29/2019,253.56,,
05/28/2019,253.43,,
05/24/2019,251.48,,
05/23/2019,249.73,,
05/22/2019,256.9,,
05/21/2019,255.36,,
05/20/2019,253.49,,
05/17/2019,252.55,,
05/16/2019,253.42,,
05/15/2019,249.15,,
05/14/2019,245.94,,
05/13/2019,241.38,,
05/10/2019,247.43,,
05/09/2019,245.31,,
05/08/2019,245.33,,
05/07/2019,245.06,,
05/06/2019,248.64,,
05/03/2019,247.95,,
05/02/2019,247.19,,
05/01/2019,248.75,,
04/30/2019,254.24,,
04/29/2019,247.13,,
04/26/2019,246.68,,
04/25/2019,245.61,,
04/24/2019,245.29,,
04/23/2019,243.49,,
04/22/2019,243.05,,
04/18/2019,240.89,,
04/17/2019,241,,
04/16/2019,240.09,,
04/15/2019,239.15,,
04/12/2019,238.83,,
04/11/2019,236.04,,
04/10/2019,237.06,,
04/09/2019,235.91,,
04/08/2019,236.27,,
04/05/2019,236.63,,
04/04/2019,236.06,,
04/03/2019,238.93,,
04/02/2019,239.26,,
04/01/2019,239.05,,
03/29/2019,235.45,,
03/28/2019,234.86,,
03/27/2019,232.52,,
03/26/2019,233.29,,
03/25/2019,230.42,,
03/22/2019,230.76,,
03/21/2019,235.87,,
03/20/2019,229.89,,
03/19/2019,231.01,,
03/18/2019,230.39,,
03/15/2019,231.17,,
03/14/2019,229.51,,
03/13/2019,228.5,,
03/12/2019,226.94,,
03/11/2019,225.64,,
03/08/2019,221.87,,
03/07/2019,222.41,,
03/06/2019,224.47,,
03/05/2019,226.22,,
03/04/2019,226.29,,
03/01/2019,227.25,,
